loyalty_number,churn_probability
100018,0.0075073759241190315
100102,0.00048305151661645515
100140,0.005770688185978013
100214,0.03156510381739365
100272,0.004367660918892266
100301,0.0012450356612274066
100364,0.024541949512146735
100380,0.0008292177696781355
100428,0.000289768420711096
100504,0.9468531736123247
100550,0.058321244568557196
100585,0.0729725373719833
100590,0.9942205317331023
100642,0.0010998287604432086
100644,0.0028079420254447504
100646,0.0009467769584865482
100727,0.00361307324900277
100737,0.004087212043374079
100753,0.41772658651249434
100816,0.0005013935752911905
100853,0.007647601144171775
100883,0.0007696699628772218
100890,0.00029077919527242303
101018,0.014393074165781219
101148,0.02722475856633982
101356,0.9999271833772804
101363,0.014112986640445776
101487,0.004186740311573021
101515,0.007653372329676102
101540,0.003818785397014149
101544,0.00032315143527168337
101547,0.05035565746082743
101581,0.001272886706277035
101594,0.00014434396833994088
101644,0.001161721772510278
101663,0.0060995957887966645
101664,0.0003406080751539008
101709,0.5575304654034708
101768,0.0002620985273123034
101876,0.9765286988279637
101895,0.0011842322388978248
101902,0.0025252302533528047
101945,0.0004351808500972584
102168,0.0004852069590054687
102184,0.02388966458924529
102207,0.36891252004423697
102299,0.009977997400093782
102308,0.9999684194656168
102311,0.08686765951779461
102376,0.9831833428537019
102464,0.17733556992132857
102615,0.0004616215749169302
102726,0.0011264090657650795
102730,0.00012765687800327978
102740,0.00047078792317814587
102788,0.8848284552794712
102851,0.035006881857246056
102877,0.5370409683307923
102982,0.00020003926885693444
103043,0.04918724253492112
103151,0.0007611143039869676
103217,0.009474921193493354
103304,0.0006281794130377539
103340,0.18916046487512655
103352,0.9999280549338471
103359,0.0039458180366104476
103362,0.0053933572758799835
103383,0.999918663941284
103436,0.000888670005539518
103490,0.0024181856130449024
103502,0.2421627161099922
103536,0.0022318205985896174
103699,0.01299059687914398
103731,0.3198665449502073
103758,0.0010209467496640567
103823,0.000626255517954375
103860,0.02826674914857161
103862,0.0008255353281223152
103916,0.03268234266709488
103969,0.011945717778879286
103970,0.0007287170509044146
103975,0.00015006013222627665
103985,6.075307892947423e-05
104103,0.6691574474489526
104267,0.4509569648556853
104353,0.009946114356502049
104431,0.0011944410851091644
104541,4.935941179143692e-06
104586,0.008426672388083756
104673,0.00023441524076882276
104732,0.003784893392829741
104739,0.999834001347376
104849,0.002305137717530445
104960,0.04668670418433085
105063,0.8079430244019208
105073,0.5155696298331837
105074,0.0038906678779449537
105145,0.9998986448217817
105193,0.0071074004198967665
105214,0.08406568665696415
105251,0.9963550843821928
105335,0.0035870330054895475
105352,0.9998951381339877
105552,0.30199673888231554
105688,0.0029017487495036506
105700,0.9998973702835535
105712,0.6983218200942201
105789,0.0009728626453449875
105835,0.09243570638216242
105841,0.8205163201364597
105921,0.003291473261038805
105932,0.015304659566165195
105992,0.013558649698089904
106001,3.648292984035019e-05
106037,0.0575457460540857
106038,0.16511220323733666
106046,0.5594068260983076
106048,0.002278338712954689
106218,0.00010670506053071822
106397,0.0003073828292956028
106444,0.000968336342322611
106477,0.00041027663891314597
106509,0.021970031753874183
106589,0.9998732810168185
106592,0.2034361155685707
106616,0.0015214202025096491
106623,0.00013622630709467714
106637,0.01776500034121841
106689,0.024500424335880174
106754,0.001995891277075461
106757,0.05843500857893758
106776,0.00390675179732095
106838,0.12000088047103263
106839,0.0020166748262121256
106936,0.001272776780476704
106946,0.003060147565516438
106964,0.0001434411348523807
106978,9.428509804838172e-05
106979,0.04336662364835219
107037,0.010570386210861578
107067,0.0020405326059691393
107119,0.0010201973867330542
107141,0.00862146863716709
107203,0.04171498310508407
107212,0.0001131599248001253
107296,0.0001176637685548911
107385,0.007369862412584079
107420,0.7948799795853555
107461,0.09953753613953266
107466,0.05378585586455385
107487,6.0268833299713784e-05
107519,0.9790271960414961
107571,0.0014135818223374394
107649,0.0010082167392441175
107719,0.0007100507986101353
107730,0.00024373705983258976
107835,0.0004085284113540057
107902,0.0019404494364066807
107993,0.0023549304137549776
108264,0.000478557400803491
108346,0.9615816780427727
108367,0.9809115740050345
108381,0.000848360881434854
108430,0.0009986370269169924
108440,0.027348321510816287
108462,0.0015483913141785763
108481,0.9999600863184697
108528,0.009015837411062643
108625,0.007994570944812847
108666,0.00045935446578234415
108857,0.9926819427017101
108896,0.9903548769371787
108907,0.0027733503393737296
109022,0.012589544117065652
109023,0.0004467469594726508
109029,0.000978967764517961
109203,0.15557110901811144
109399,0.516663132099031
109478,0.044290473379971135
109495,0.0018315280519968623
109517,0.17875240451988905
109552,0.005716360111320922
109612,0.5824209958563825
109660,0.03913621840908179
109767,0.004119774144746821
109840,0.06835722216829158
109896,0.003017211875015822
109903,0.02982216930798575
109956,0.9846526140985951
110001,0.4840385293479998
110030,0.9985565048109157
110065,0.7249287488226603
110073,0.9999436860113696
110099,0.0014065732590006939
110142,0.9751004926285495
110170,1.3685812556656429e-05
110211,0.9796092862238227
110262,0.05086081800809886
110296,0.0011209021921400593
110394,0.00011930599052217673
110422,1.1125045779490016e-05
110476,0.000498039319842401
110603,0.9999760831000648
110678,0.05190343093150997
110691,0.07377508702369277
110752,3.0334418825748634e-05
111022,0.0005752976146865384
111034,0.016709988732560917
111171,0.0026857512035473484
111176,0.4005415731267883
111255,0.020066498704364905
111286,0.006936847502509636
111329,0.00011465934580499021
111387,0.9998625180980277
111485,0.0003330059764020118
111507,0.016863511459721446
111573,0.028082726498960663
111584,0.004922534675071038
111646,0.9652799124292464
111788,0.5552362895060677
111899,0.9816794430502026
111912,0.001800502193230281
112026,0.0010127443575868077
112142,0.9319225831116994
112226,0.029164475929501076
112393,0.026914371361316396
